id,keyword,type,createdBy,createdById,createdAt,updatedBy,updatedById,updatedAt
58bff8cebdeac5b071096ba5,HSBC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:58 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:27:58 pm
58bff90abdeac5b071096bac,HSBCIN,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:28:58 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:28:58 pm
58bff8d6bdeac5b071096ba6,HSBCINHSBC,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:28:06 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:28:06 pm
58bff732bdeac5b071096b7e,ICICI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:21:06 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:21:06 pm
58bff73cbdeac5b071096b7f,ICICI BANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:21:16 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:21:16 pm
58bff747bdeac5b071096b80,ICICIB,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:21:27 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:21:27 pm
58bff80fbdeac5b071096b92,IDBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:24:47 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:24:47 pm
58453361b140d78d0c123b93,IMPS,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:29:05 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:29:05 am
58bffb19bdeac5b071096be1,INDBNK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:45 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:45 pm
57d006dc8f5248094b8a9a7b,INR,POSITIVE,Admin User,5785ee389675708b7c6b62cc,2016-09-07 12:23:56 pm,Admin User,5785ee389675708b7c6b62cc,2016-09-07 12:23:56 pm
58bff88ebdeac5b071096b9e,KOTAK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:26:54 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:26:54 pm
58bff851bdeac5b071096b99,KOTAKB,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:25:53 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:25:53 pm
58917d3556999109118c8f1a,NEFT,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:16:21 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:16:21 am
584533dab140d78d0c123b95,NetBanking,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:31:06 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:31:06 am
5891711556999109118c8f16,OFF,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:24:37 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 5:24:37 am
5852331b7fa7c0de03a80fa7,OFFER,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:23 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:23 am
585233147fa7c0de03a80fa6,OTP,NEGATIVE,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:16 am,Admin User,5785ee389675708b7c6b62cc,2016-12-15 6:07:16 am
591445d8c9887a7c22f7398e,Offer,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:07:04 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:07:04 am
591445cfc9887a7c22f7398d,Offers,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:06:55 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-05-11 11:06:55 am
58917d7856999109118c8f1d,One time password,NEGATIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:17:28 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-02-01 6:17:28 am
584533c2b140d78d0c123b94,Online Payment,POSITIVE,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:30:42 am,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2016-12-05 9:30:42 am
